恒,6,0,1,52,0,15,0,7,0,0,9,55,3,0
細,74,0,0,0,0,0,0,73,1,0,0,0,0,0
聖,0,0,0,57,0,16,0,0,0,0,10,62,1,0
幹,0,0,0,64,0,9,0,0,0,0,3,70,0,0
梅,69,0,1,2,0,0,0,70,0,0,0,1,1,0
悠,0,0,0,49,0,22,0,0,0,0,20,46,5,0
満,9,0,7,20,0,35,0,16,0,0,25,25,5,0
赤,71,0,0,0,0,0,0,70,1,0,0,0,0,0
範,0,0,0,29,0,42,0,0,0,0,1,69,1,0
浜,57,0,13,0,0,0,4,66,0,0,0,0,0,0
登,8,0,5,18,3,36,1,11,1,0,10,30,17,0
宣,0,0,0,36,0,33,0,0,0,0,0,68,1,0
名,17,6,40,3,0,2,0,54,9,0,0,3,2,0
央,0,0,0,8,3,57,0,0,0,0,9,55,4,0
規,0,0,0,25,1,40,0,0,0,0,1,60,5,0
濱,54,0,12,0,0,0,2,63,1,0,0,0,0,0
翔,0,0,0,39,1,25,0,0,0,0,23,37,5,0
愛,3,0,0,34,0,27,0,3,0,0,22,36,3,0
織,13,0,5,2,0,44,0,18,0,0,0,45,1,0
朋,0,0,0,54,0,9,0,0,0,0,3,60,0,0
鳥,44,2,14,0,0,2,0,57,3,0,0,2,0,0
服,61,0,0,0,0,0,0,61,0,0,0,0,0,0
昇,1,0,0,23,0,36,1,0,0,0,35,21,3,0
方,3,2,45,7,0,3,0,46,4,0,0,9,1,0
晶,0,0,0,31,0,28,0,0,0,0,9,49,1,0
邊,0,0,59,0,0,0,0,59,0,0,0,0,0,0
斎,57,0,0,0,0,1,1,56,0,0,1,0,0,0
匡,0,0,0,44,0,13,0,0,0,0,9,48,0,0
室,31,0,26,0,0,0,1,56,0,0,0,0,0,0
貞,8,0,2,41,0,6,0,10,0,0,2,39,6,0
天,48,0,2,3,0,2,0,50,0,0,1,4,0,0
柏,54,0,0,1,0,0,2,51,1,0,0,1,0,0
仲,43,0,8,1,0,3,1,49,1,0,1,3,0,0
門,28,0,14,0,0,12,0,41,1,0,0,9,1,2
国,21,0,7,20,0,6,0,28,0,0,0,25,1,0
鶴,43,0,3,1,1,6,0,45,1,0,0,7,1,0
絵,2,0,0,27,3,22,0,2,0,0,0,34,17,1
桑,49,0,5,0,0,0,0,52,2,0,0,0,0,0
彩,0,0,0,43,0,10,0,0,0,0,7,46,0,0
繁,8,0,4,22,0,19,0,12,0,0,17,23,1,0
嵐,0,0,53,0,0,0,0,0,53,0,0,0,0,0
通,3,0,1,29,0,20,0,4,0,0,6,43,0,0
夏,17,0,1,19,0,16,1,17,0,0,0,33,2,0
琢,0,0,0,48,0,5,0,0,0,0,5,48,0,0
周,6,0,0,35,0,12,1,5,0,0,8,38,1,0
菜,0,0,1,19,6,27,0,1,0,0,0,32,20,0
衣,8,0,0,4,12,28,0,8,0,0,0,31,13,0
國,30,0,13,9,0,0,0,42,1,0,0,9,0,0
手,22,7,23,0,0,0,0,43,9,0,0,0,0,0
笹,49,0,3,0,0,0,0,52,0,0,0,0,0,0
居,3,0,48,0,0,1,0,50,1,0,0,1,0,0
比,13,20,5,4,10,0,0,10,28,0,0,0,14,0
家,9,2,38,3,0,0,0,47,2,0,0,3,0,0
荻,49,0,2,0,0,0,1,50,0,0,0,0,0,0
薫,0,0,0,3,0,48,0,0,0,0,48,3,0,0
照,8,0,0,33,0,10,0,7,1,0,2,41,0,0
磯,47,0,3,0,0,1,4,46,0,0,0,1,0,0
岳,0,0,1,42,0,7,0,1,0,0,4,45,0,0
望,33,0,0,3,0,14,0,33,0,0,10,7,0,0
世,4,1,8,2,6,29,0,10,3,0,0,28,9,0
滝,39,0,10,0,0,0,7,42,0,0,0,0,0,0
工,41,3,0,0,0,4,0,41,3,0,4,0,0,0
辰,9,0,0,38,0,1,0,9,0,0,1,35,3,0
朝,30,0,1,17,0,0,1,26,4,0,0,16,1,0
園,20,1,23,4,0,0,0,38,5,1,0,4,0,0
庄,27,1,12,8,0,0,1,38,0,1,0,7,1,0
